Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Multiple Sclerosis	C0026769	HLA-DRB1	3123	P01911	major histocompatibility complex, class II, DR beta 1	Immune response	1018	0.333	0.923	0.0010997	0.5		0.923	323	5	1992.0	2020.0
Multiple Sclerosis	C0026769	IL2RA	3559	P01589	interleukin 2 receptor subunit alpha	Receptor	540	0.389	0.885	0.054709	0.5		0.985	68	11	1994.0	2019.0
Multiple Sclerosis	C0026769	IL7R	3575	P16871	interleukin 7 receptor	Receptor	231	0.487	0.769	3.763e-07	0.5		0.982	55	7	2003.0	2019.0
Multiple Sclerosis	C0026769	TNFRSF1A	7132	P19438	TNF receptor superfamily member 1A		487	0.409	0.923	0.9949	0.5		0.97	33	4	1999.0	2019.0
Multiple Sclerosis	C0026769	CD40	958	P25942	CD40 molecule		528	0.396	0.846	0.84603	0.5		0.958	24	2	2000.0	2019.0
Multiple Sclerosis	C0026769	CD58	965	P19256	CD58 molecule		80	0.584	0.769	0.25092	0.5		1.0	24	5	2008.0	2019.0
Parkinson Disease	C0030567	LRRK2	120892	Q5S007	leucine rich repeat kinase 2	Kinase	231	0.51	0.808	2.5757e-30	0.5		0.983	987	35	2002.0	2020.0
Parkinson Disease	C0030567	GAK	2580	O14976	cyclin G associated kinase	Kinase	13	0.805	0.231	0.0051818	0.5		1.0	18	4	2009.0	2020.0
Parkinson Disease	C0030567	GBA	2629	P04062	glucosylceramidase beta		319	0.5	0.808	1.4355e-06	0.5		0.989	264	15	2004.0	2020.0
Parkinson Disease	C0030567	MAPT	4137	P10636	microtubule associated protein tau		469	0.446	0.923	0.0060258	0.5		0.972	142	40	1999.0	2019.0
Parkinson Disease	C0030567	BST1	683	Q10588	bone marrow stromal cell antigen 1	Enzyme	41	0.67	0.423	4.2099e-11	0.5		0.92	25	8	2009.0	2019.0
Alzheimer's Disease	C0002395	VSNL1	7447	P62760	visinin like 1		52	0.631	0.423	0.45742	0.49		1.0	11	3	2001.0	2019.0
Dystonia	C0013421	PRKN	5071	O60260	parkin RBR E3 ubiquitin protein ligase	Enzyme	409	0.431	0.846	6.9346e-07	0.49	strong	1.0	11	0	1998.0	2020.0
Multiple Sclerosis	C0026769	TYK2	7297	P29597	tyrosine kinase 2	Kinase	172	0.505	0.769	4.4963e-08	0.49		1.0	10	2	2009.0	2014.0
Dystonia	C0013421	CACNA1A	773	O00555	calcium voltage-gated channel subunit alpha1 A	Ion channel	320	0.489	0.769	1.0	0.48		1.0	9	0	1999.0	2020.0
Parkinson Disease	C0030567	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	Immune response	92	0.581	0.769	0.51949	0.48		1.0	10	1	2010.0	2015.0
Dystonia	C0013421	ADCY5	111	O95622	adenylate cyclase 5		103	0.617	0.577	0.99928	0.47		1.0	7	2	2014.0	2017.0
Dystonia	C0013421	ARX	170302	Q96QS3	aristaless related homeobox		249	0.516	0.654	0.90814	0.46		1.0	8	0	2002.0	2015.0
Multiple Sclerosis	C0026769	KIF1B	23095	O60333	kinesin family member 1B	Cellular structure	213	0.516	0.808	1.0	0.46		1.0	7	1	2008.0	2014.0
Alzheimer's Disease	C0002395	INPP5D	3635	Q92835	inositol polyphosphate-5-phosphatase D		109	0.558	0.731	0.97198	0.45		1.0	9	3	2013.0	2020.0
Dystonia	C0013421	SLC30A10	55532	Q6XR72	solute carrier family 30 member 10	Transporter	120	0.578	0.654	0.97952	0.45		1.0	5	0	2012.0	2019.0
Dystonia	C0013421	SLC2A1	6513	P11166	solute carrier family 2 member 1	Transporter	687	0.388	0.808	0.9941	0.45		1.0	8	1	2000.0	2018.0
Alzheimer's Disease	C0002395	NECTIN2	5819	Q92692	nectin cell adhesion molecule 2		106	0.575	0.769	0.96926	0.44		1.0	25	53	2008.0	2019.0
Dystonia	C0013421	ADAR	103	P55265	adenosine deaminase RNA specific	Enzyme	256	0.501	0.808	0.026282	0.44		1.0	6	0	2006.0	2016.0
Dystonia	C0013421	ATP13A2	23400	Q9NQ11	ATPase cation transporting 13A2		160	0.566	0.577	8.9582e-09	0.44	strong	0.833	6	0	2010.0	2019.0
Multiple Sclerosis	C0026769	HLA-DRA	3122	P01903	major histocompatibility complex, class II, DR alpha	Immune response	92	0.581	0.769	0.51949	0.44		1.0	5	11	1999.0	2010.0
Multiple Sclerosis	C0026769	CBLB	868	Q13191	Cbl proto-oncogene B	Enzyme	33	0.691	0.423	0.99825	0.44		0.8	5	1	2010.0	2017.0
Alzheimer's Disease	C0002395	MS4A4A	51338	Q96JQ5	membrane spanning 4-domains A4A	Receptor	21	0.722	0.308	8.0964e-06	0.43		1.0	8	33	2011.0	2019.0
Dystonia	C0013421	GCDH	2639	Q92947	glutaryl-CoA dehydrogenase		72	0.691	0.385	0.004856	0.43		1.0	5	1	1995.0	2015.0
Dystonia	C0013421	FA2H	79152	Q7L5A8	fatty acid 2-hydroxylase	Enzyme	131	0.573	0.654	0.14678	0.43		1.0	3	1	2008.0	2019.0
Multiple Sclerosis	C0026769	STAT4	6775	Q14765	signal transducer and activator of transcription 4	Nucleic acid binding	316	0.471	0.769	0.7662	0.43		1.0	5	2	2008.0	2017.0
Alzheimer's Disease	C0002395	PCDH11X	27328	Q9BZA7	protocadherin 11 X-linked		18	0.729	0.308	0.015836	0.42		1.0	3	2	2009.0	2011.0
Alzheimer's Disease	C0002395	CASS4	57091	Q9NQ75	Cas scaffold protein family member 4		19	0.722	0.231	0.36682	0.42		1.0	5	2	2013.0	2019.0
Dystonia	C0013421	WDR45	11152	Q9Y484	WD repeat domain 45		72	0.647	0.423	0.99145	0.42	strong	1.0	4	0	2012.0	2015.0
Dystonia	C0013421	ATM	472	Q13315	ATM serine/threonine kinase	Kinase	684	0.374	0.885	5.5884e-47	0.42		0.5	2	0	2012.0	2015.0
Dystonia	C0013421	PINK1	65018	Q9BXM7	PTEN induced kinase 1	Kinase	209	0.516	0.769	1.8749e-10	0.42	strong	1.0	3	0	2004.0	2015.0
Dystonia	C0013421	SUCLA2	8803	Q9P2R7	succinate-CoA ligase ADP-forming subunit beta	Enzyme	136	0.566	0.654	0.0023488	0.42		1.0	2	0	2007.0	2009.0
Multiple Sclerosis	C0026769	TNFAIP3	7128	P21580	TNF alpha induced protein 3	Enzyme	212	0.481	0.808	0.99972	0.42		1.0	4	2	2011.0	2015.0
Multiple Sclerosis	C0026769	TNFSF14	8740	O43557	TNF superfamily member 14	Signaling	143	0.529	0.769	0.051663	0.42		1.0	4	1	2011.0	2013.0
Multiple Sclerosis	C0026769	CD6	923	P30203	CD6 molecule	Enzyme	216	0.489	0.808	9.2695e-05	0.42		1.0	5	5	2009.0	2016.0
Dystonia	C0013421	FBXO7	25793	Q9Y3I1	F-box protein 7		76	0.65	0.769	5.7858e-07	0.41	strong	1.0	2	0	2009.0	2010.0
Dystonia	C0013421	APTX	54840	Q7Z2E3	aprataxin	Nucleic acid binding	94	0.59	0.5	3.9924e-10	0.41		1.0	2	0	2003.0	2003.0
Dystonia	C0013421	PSEN1	5663	P49768	presenilin 1	Enzyme	369	0.469	0.846	0.97322	0.41		1.0	3	1	2012.0	2017.0
Dystonia	C0013421	SLC20A2	6575	Q08357	solute carrier family 20 member 2	Transporter	104	0.638	0.577	0.96545	0.41	strong	1.0	1	0	2014.0	2014.0
Dystonia	C0013421	ZNF142	7701	P52746	zinc finger protein 142	Transcription factor	20	0.861	0.192	4.8098e-16	0.41	strong	1.0	1	3	2019.0	2019.0
Dystonia	C0013421	DCAF17	80067	Q5H9S7	DDB1 and CUL4 associated factor 17		59	0.653	0.577	3.74e-07	0.41		0.5	2	1	2010.0	2016.0
Dystonia	C0013421	SLC19A3	80704	Q9BZV2	solute carrier family 19 member 3	Transporter	112	0.61	0.692	0.1039	0.41		1.0	1	0	2012.0	2012.0
Dystonia	C0013421	C19orf12	83636	Q9NSK7	chromosome 19 open reading frame 12		92	0.641	0.615	0.34416	0.41	strong	1.0	2	3	2013.0	2017.0
Autism Spectrum Disorders	C1510586	MEF2C	4208	Q06413	myocyte enhancer factor 2C	Transcription factor	206	0.517	0.769	0.017256	0.41		1.0	3	2	2010.0	2019.0
Alzheimer's Disease	C0002395	CYP46A1	10858	Q9Y6A2	cytochrome P450 family 46 subfamily A member 1	Enzyme	39	0.659	0.5	0.98552	0.4		0.953	43	5	2000.0	2019.0
Alzheimer's Disease	C0002395	CHRNA7	1139	P36544;Q494W8	cholinergic receptor nicotinic alpha 7 subunit	Ion channel	172	0.532	0.654	0.00041549	0.4		1.0	12	1	2001.0	2017.0
Alzheimer's Disease	C0002395	CST3	1471	P01034	cystatin C		370	0.436	0.808	0.0039011	0.4		0.935	46	1	1988.0	2019.0
Alzheimer's Disease	C0002395	CYP2D6	1565	P10635	cytochrome P450 family 2 subfamily D member 6		432	0.437	0.885	1.0793e-25	0.4		0.909	33	2	1995.0	2019.0
Alzheimer's Disease	C0002395	DHCR24	1718	Q15392	24-dehydrocholesterol reductase	Enzyme	216	0.498	0.769	0.031029	0.4		0.958	24	4	2000.0	2019.0
Alzheimer's Disease	C0002395	DPYSL2	1808	Q16555	dihydropyrimidinase like 2	Enzyme	93	0.585	0.692	0.99375	0.4		0.947	19	0	1999.0	2020.0
Alzheimer's Disease	C0002395	ESR1	2099	P03372	estrogen receptor 1	Nuclear receptor	1101	0.324	0.962	0.9992	0.4		0.944	54	5	1999.0	2019.0
Alzheimer's Disease	C0002395	NCSTN	23385	Q92542	nicastrin		40	0.666	0.462	0.99942	0.4		1.0	21	1	2001.0	2020.0
Alzheimer's Disease	C0002395	HMOX1	3162	P09601	heme oxygenase 1		666	0.381	0.923	0.0096817	0.4		0.92	25	1	1995.0	2020.0
Alzheimer's Disease	C0002395	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.4		1.0	41	2	2000.0	2020.0
Alzheimer's Disease	C0002395	IL6	3569	P05231	interleukin 6		2367	0.248	0.962	0.31536	0.4		0.938	112	1	1993.0	2019.0
Alzheimer's Disease	C0002395	MIR146A	406938		microRNA 146a		505	0.398	0.885		0.4		1.0	19	1	2008.0	2019.0
Alzheimer's Disease	C0002395	MAOB	4129	P27338	monoamine oxidase B		152	0.533	0.808	0.99903	0.4		1.0	38	1	1994.0	2020.0
Alzheimer's Disease	C0002395	ACHE	43	P22303	acetylcholinesterase (Cartwright blood group)	Enzyme	418	0.445	0.885	0.99827	0.4		0.985	388	1	1991.0	2020.0
Alzheimer's Disease	C0002395	MTHFR	4524	P42898	methylenetetrahydrofolate reductase		985	0.337	0.885	3.2068e-10	0.4		0.868	38	4	1999.0	2018.0
Alzheimer's Disease	C0002395	PPARG	5468	P37231	peroxisome proliferator activated receptor gamma	Nuclear receptor	877	0.358	0.885	0.029194	0.4		0.907	54	6	2000.0	2019.0
Alzheimer's Disease	C0002395	PRNP	5621	F7VJQ1;P04156	prion protein		426	0.445	0.923	0.00063182	0.4		0.902	102	3	1986.0	2020.0
Alzheimer's Disease	C0002395	RELN	5649	P78509	reelin		178	0.515	0.731	1.0	0.4		1.0	29	3	2002.0	2019.0
Alzheimer's Disease	C0002395	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.4		0.962	343	3	1995.0	2020.0
Alzheimer's Disease	C0002395	TFAM	7019	Q00059	transcription factor A, mitochondrial		147	0.529	0.731	0.17259	0.4		0.9	10	2	2004.0	2019.0
Alzheimer's Disease	C0002395	TNF	7124	P01375	tumor necrosis factor	Signaling	2724	0.231	0.962	0.8033	0.4		0.963	134	2	1998.0	2020.0
Alzheimer's Disease	C0002395	VEGFA	7422	P15692	vascular endothelial growth factor A	Signaling	1899	0.266	0.923	2.4085e-05	0.4		0.919	37	3	2005.0	2020.0
Alzheimer's Disease	C0002395	CD33	945	P20138	CD33 molecule	Receptor	142	0.524	0.769	5.6888e-07	0.4		0.972	36	3	2011.0	2019.0
Dystonia	C0013421	RNASEH2A	10535	O75792	ribonuclease H2 subunit A	Enzyme	116	0.592	0.692	0.0041807	0.4	limited	1.0	1	0	2006.0	2006.0
Dystonia	C0013421	NPC2	10577	P61916	NPC intracellular cholesterol transporter 2		81	0.612	0.769	0.0017755	0.4		1.0	1	0	2001.0	2001.0
Dystonia	C0013421	AFG3L2	10939	Q9Y4W6	AFG3 like matrix AAA peptidase subunit 2	Enzyme	123	0.588	0.462	5.2511e-09	0.4	strong		0	0		
Dystonia	C0013421	TREX1	11277	Q9NSU2	three prime repair exonuclease 1		241	0.517	0.808	0.57528	0.4	limited	1.0	1	0	2014.0	2014.0
Dystonia	C0013421	EARS2	124454	Q5JPH6	glutamyl-tRNA synthetase 2, mitochondrial	Enzyme	47	0.666	0.538	1.1238e-08	0.4	limited		0	0		
Dystonia	C0013421	CYP27A1	1593	Q02318	cytochrome P450 family 27 subfamily A member 1	Enzyme	167	0.538	0.731	5.2916e-19	0.4	strong	1.0	1	0	2018.0	2018.0
Dystonia	C0013421	FOXG1	2290	P55316	forkhead box G1		224	0.522	0.692	0.94355	0.4		1.0	1	1	2017.0	2017.0
Dystonia	C0013421	GAMT	2593	Q14353	guanidinoacetate N-methyltransferase		62	0.691	0.269	0.0094758	0.4	limited	1.0	1	0	2014.0	2014.0
Dystonia	C0013421	SAMHD1	25939	Q9Y3Z3	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1		169	0.547	0.769	6.4524e-13	0.4	limited	1.0	1	0	2010.0	2010.0
Dystonia	C0013421	CHMP2B	25978	Q9UQN3	charged multivesicular body protein 2B		177	0.543	0.731	4.6203e-06	0.4		1.0	1	0	2008.0	2008.0
Dystonia	C0013421	TPK1	27010	Q9H3S4	thiamin pyrophosphokinase 1	Kinase	21	0.792	0.269	0.09146	0.4	limited	1.0	1	0	2017.0	2017.0
Dystonia	C0013421	MMADHC	27249	Q9H3L0	metabolism of cobalamin associated D		36	0.751	0.385	2.071e-05	0.4	limited		0	0		
Dystonia	C0013421	GNAL	2774	P38405	G protein subunit alpha L	Enzyme modulator	41	0.674	0.308	0.99829	0.4		1.0	12	1	2013.0	2019.0
Dystonia	C0013421	HPRT1	3251	P00492	hypoxanthine phosphoribosyltransferase 1	Enzyme	210	0.5	0.808	0.93728	0.4	limited	1.0	1	0	2010.0	2010.0
Dystonia	C0013421	KCNQ2	3785	O43526	potassium voltage-gated channel subfamily Q member 2	Ion channel	175	0.537	0.654	0.99998	0.4			0	0		
Dystonia	C0013421	ARSA	410	P15289	arylsulfatase A	Enzyme	376	0.448	0.923	1.0893e-11	0.4			0	0		
Dystonia	C0013421	MAT1A	4143	Q00266	methionine adenosyltransferase 1A	Enzyme	103	0.582	0.577	0.00080978	0.4	limited	1.0	1	0	2015.0	2015.0
Dystonia	C0013421	MPV17	4358	P39210	mitochondrial inner membrane protein MPV17	Receptor	134	0.595	0.577	9.6582e-11	0.4	limited		0	0		
Dystonia	C0013421	ATP1A2	477	P50993	ATPase Na+/K+ transporting subunit alpha 2	Transporter	102	0.597	0.615	0.00018093	0.4		1.0	2	0	2003.0	2003.0
Dystonia	C0013421	PDGFRB	5159	P09619	platelet derived growth factor receptor beta	Kinase	492	0.416	0.846	0.9041	0.4		1.0	2	0	2014.0	2015.0
Dystonia	C0013421	PLP1	5354	P60201	proteolipid protein 1	Cellular structure	160	0.543	0.769	0.92845	0.4		1.0	1	0	2000.0	2000.0
Dystonia	C0013421	GTPBP2	54676	Q9BX10	GTP binding protein 2	Enzyme	44	0.736	0.423	0.31663	0.4	strong		0	0		
Dystonia	C0013421	AUH	549	Q13825	AU RNA binding methylglutaconyl-CoA hydratase	Enzyme	42	0.686	0.346	8.024e-06	0.4		1.0	1	0	2010.0	2010.0
